MinTemp,MaxTemp,Evaporation,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,Month,Day,Location_Target_Encoded,Rainfall_Category_Heavy Rain,Rainfall_Category_Moderate Rain,Rainfall_Category_No Rain,Rainfall_Category_Very Heavy Rain,DewPointEstimate,AvgHumidity,AvgTemperature,TempRange,TempSunshineInteraction,PressureDifference,TempDifference
12.9,15.8,4.8,70.0,19.0,15.0,83.0,89.0,1004.8,1000.9,13.3,14.5,4,25,1.9141149119893721,1.0,0.0,0.0,0.0,10.706999999999999,86.0,14.350000000000001,2.9000000000000004,120.25660482644628,-3.8999999999999773,1.1999999999999993
8.6,12.9,4.8,63.0,26.0,31.0,77.0,62.0,1004.0,1003.3,9.5,11.6,4,26,1.9141149119893721,1.0,0.0,0.0,0.0,6.622,69.5,10.75,4.300000000000001,98.18419001652892,-0.7000000000000455,2.0999999999999996
9.3,16.8,4.8,56.0,26.0,30.0,82.0,54.0,997.8,1003.8,13.1,15.9,9,23,1.9141149119893721,1.0,0.0,0.0,0.0,7.626,68.0,13.05,7.5,127.86778234710744,6.0,2.8000000000000007
18.3,28.3,4.8,61.0,0.0,46.0,98.0,67.0,1003.7,1003.5,19.2,25.6,11,22,1.9141149119893721,1.0,0.0,0.0,0.0,17.934,82.5,23.3,10.0,215.39632383471073,-0.20000000000004547,6.400000000000002
18.8,30.3,4.8,39.0,9.0,7.0,87.0,48.0,1010.0,1009.0,22.3,29.4,3,6,1.9141149119893721,1.0,0.0,0.0,0.0,16.356,67.5,24.55,11.5,230.61867887603304,-1.0,7.099999999999998
9.4,15.0,4.8,26.0,9.0,11.0,99.0,89.0,1005.7,1002.8,12.1,14.0,5,29,1.9141149119893721,1.0,0.0,0.0,0.0,9.306000000000001,94.0,12.2,5.6,114.16766280991735,-2.900000000000091,1.9000000000000004
6.2,10.0,4.8,57.0,24.0,19.0,82.0,91.0,1009.2,1008.7,8.5,9.1,7,14,1.9141149119893721,1.0,0.0,0.0,0.0,5.084,86.5,8.1,3.8,76.11177520661157,-0.5,0.5999999999999996
10.1,17.7,4.8,70.0,24.0,24.0,96.0,87.0,1004.7,999.0,15.1,14.8,9,4,1.9141149119893721,1.0,0.0,0.0,0.0,9.696,91.5,13.899999999999999,7.6,134.71784211570247,-5.7000000000000455,-0.29999999999999893
9.8,14.2,4.8,72.0,22.0,19.0,81.0,67.0,1011.7,1013.8,10.6,13.2,9,5,1.9141149119893721,1.0,0.0,0.0,0.0,7.9380000000000015,74.0,12.0,4.399999999999999,108.07872079338841,2.099999999999909,2.5999999999999996
8.1,14.0,4.8,50.0,28.0,22.0,91.0,86.0,1004.5,1006.0,10.9,11.0,9,10,1.9141149119893721,1.0,0.0,0.0,0.0,7.3709999999999996,88.5,11.05,5.9,106.55648528925619,1.5,0.09999999999999964
13.8,18.6,4.8,63.0,28.0,4.0,93.0,90.0,989.8,982.9,18.5,17.1,10,15,1.9141149119893721,1.0,0.0,0.0,0.0,12.834000000000001,91.5,16.200000000000003,4.800000000000001,141.56790188429753,-6.899999999999977,-1.3999999999999986
4.8,12.8,4.8,52.0,20.0,28.0,72.0,61.0,1004.6,1008.3,6.4,11.2,10,16,1.9141149119893721,1.0,0.0,0.0,0.0,3.456,66.5,8.8,8.0,97.4230722644628,3.699999999999932,4.799999999999999
18.0,26.7,4.8,39.0,11.0,20.0,85.0,50.0,1009.1,1007.2,20.5,26.0,12,9,1.9141149119893721,1.0,0.0,0.0,0.0,15.299999999999999,67.5,22.35,8.7,203.21843980165286,-1.8999999999999773,5.5
20.1,32.0,4.8,37.0,19.0,11.0,68.0,40.0,1013.6,1010.0,24.1,31.2,1,10,1.9141149119893721,1.0,0.0,0.0,0.0,13.668000000000003,54.0,26.05,11.899999999999999,243.557680661157,-3.6000000000000227,7.099999999999998
19.8,24.8,4.8,54.0,15.0,9.0,98.0,94.0,1013.4,1011.5,20.4,22.0,2,11,1.9141149119893721,1.0,0.0,0.0,0.0,19.404,96.0,22.3,5.0,188.75720251239667,-1.8999999999999773,1.6000000000000014
