area,year,rainfall_mm,temp_c,item,pesticides_log,yield_log
Algeria,1990,89.0,17.48,Maize,7.512027529032907,9.711176264112805
Algeria,1990,89.0,17.48,Potatoes,7.512027529032907,11.276405344947687
Algeria,1990,89.0,17.48,"Rice, paddy",7.512027529032907,10.239995502805316
Algeria,1990,89.0,17.48,Sorghum,7.512027529032907,9.715469803197292
Algeria,1990,89.0,17.48,Wheat,7.512027529032907,8.750841375375533
Algeria,1991,89.0,16.26,Maize,7.809054193037055,9.864330837334935
Algeria,1991,89.0,16.26,Potatoes,7.809054193037055,11.415841713316752
Algeria,1991,89.0,16.26,"Rice, paddy",7.809054193037055,10.195671974185327
Algeria,1991,89.0,16.26,Sorghum,7.809054193037055,10.095429352707074
Algeria,1991,89.0,16.26,Wheat,7.809054193037055,9.288226910633254
Algeria,1992,89.0,16.27,Maize,7.103708501007039,10.035786936549613
Algeria,1992,89.0,16.27,Potatoes,7.103708501007039,11.589126958463805
Algeria,1992,89.0,16.27,"Rice, paddy",7.103708501007039,10.115934094302002
Algeria,1992,89.0,16.27,Sorghum,7.103708501007039,10.596659732783579
Algeria,1992,89.0,16.27,Wheat,7.103708501007039,9.20432229965062
Algeria,1993,89.0,17.0,Maize,6.930387233288476,9.433563920090563
Algeria,1993,89.0,17.0,Potatoes,6.930387233288476,11.619229535340267
Algeria,1993,89.0,17.0,"Rice, paddy",6.930387233288476,10.048107242146072
Algeria,1993,89.0,17.0,Sorghum,6.930387233288476,10.819798284210286
Algeria,1993,89.0,17.0,Wheat,6.930387233288476,8.999372396592106
Algeria,1994,89.0,17.88,Maize,7.135703270468245,8.414717399827001
Algeria,1994,89.0,17.88,Potatoes,7.135703270468245,11.46246340395984
Algeria,1994,89.0,17.88,"Rice, paddy",7.135703270468245,9.969977293804961
Algeria,1994,89.0,17.88,Wheat,7.135703270468245,8.987196820661973
Algeria,1995,89.0,17.36,Maize,7.900299394254329,9.687567846311238
Algeria,1995,89.0,17.36,Potatoes,7.900299394254329,11.826048650303937
Algeria,1995,89.0,17.36,"Rice, paddy",7.900299394254329,9.88323382350886
Algeria,1995,89.0,17.36,Sorghum,7.900299394254329,9.44683440765853
Algeria,1995,89.0,17.36,Wheat,7.900299394254329,9.09661160664784
Algeria,1996,89.0,16.76,Maize,6.17538898526763,9.75004495529255
Algeria,1996,89.0,16.76,Potatoes,6.17538898526763,11.81028555397328
Algeria,1996,89.0,16.76,"Rice, paddy",6.17538898526763,9.790430830243832
Algeria,1996,89.0,16.76,Sorghum,6.17538898526763,9.599066156080049
Algeria,1996,89.0,16.76,Wheat,6.17538898526763,9.479680250180099
Algeria,1997,89.0,17.84,Maize,5.996999202606457,9.97198696896082
Algeria,1997,89.0,17.84,Potatoes,5.996999202606457,11.85682008740708
Algeria,1997,89.0,17.84,"Rice, paddy",5.996999202606457,9.61587214452889
Algeria,1997,89.0,17.84,Sorghum,5.996999202606457,10.596659732783579
Algeria,1997,89.0,17.84,Wheat,5.996999202606457,8.989319566042951
Algeria,1998,89.0,17.14,Maize,5.780249566659046,9.754000978835746
Algeria,1998,89.0,17.14,Potatoes,5.780249566659046,11.984534055576166
Algeria,1998,89.0,17.14,"Rice, paddy",5.780249566659046,9.61587214452889
Algeria,1998,89.0,17.14,Sorghum,5.780249566659046,10.106469212026385
Algeria,1998,89.0,17.14,Wheat,5.780249566659046,9.087946723762116
Algeria,1999,89.0,17.97,Maize,6.485322022643818,10.015744234881796
Algeria,1999,89.0,17.97,Potatoes,6.485322022643818,11.941670806617058
Algeria,1999,89.0,17.97,"Rice, paddy",6.485322022643818,9.54273286919502
Algeria,1999,89.0,17.97,Sorghum,6.485322022643818,10.203629181337648
Algeria,1999,89.0,17.97,Wheat,6.485322022643818,9.279119887371008
Algeria,2000,89.0,17.9,Maize,6.40468285467094,10.496455217294162
Algeria,2000,89.0,17.9,Potatoes,6.40468285467094,12.020610161183653
Algeria,2000,89.0,17.9,"Rice, paddy",6.40468285467094,9.47677327138879
Algeria,2000,89.0,17.9,Sorghum,6.40468285467094,11.149096419938578
Algeria,2000,89.0,17.9,Wheat,6.40468285467094,9.126415137038421
Algeria,2001,89.0,18.13,Maize,6.566827129510323,10.21008950984042
Algeria,2001,89.0,18.13,Potatoes,6.566827129510323,11.898317109109271
Algeria,2001,89.0,18.13,"Rice, paddy",6.566827129510323,9.418573310554638
Algeria,2001,89.0,18.13,Sorghum,6.566827129510323,10.231027154561334
Algeria,2001,89.0,18.13,Wheat,6.566827129510323,9.315150736328528
Algeria,2002,89.0,17.85,Maize,6.7063120629805955,10.41873339273561
Algeria,2002,89.0,17.85,Potatoes,6.7063120629805955,12.121467462242288
Algeria,2002,89.0,17.85,"Rice, paddy",6.7063120629805955,9.469622969906265
Algeria,2002,89.0,17.85,Sorghum,6.7063120629805955,10.431199791458543
Algeria,2002,89.0,17.85,Wheat,6.7063120629805955,9.281730368062856
Algeria,2004,89.0,17.38,Maize,8.229207072747089,10.365017884577242
Algeria,2004,89.0,17.38,Potatoes,8.229207072747089,12.223843799015292
Algeria,2004,89.0,17.38,"Rice, paddy",8.229207072747089,9.459541457609681
Algeria,2004,89.0,17.38,Sorghum,8.229207072747089,10.67630044663933
Algeria,2004,89.0,17.38,Wheat,8.229207072747089,9.51657428982249
Algeria,2005,89.0,17.19,Maize,8.206275244815233,10.430137311649004
Algeria,2005,89.0,17.19,Potatoes,8.206275244815233,12.28427365832434
Algeria,2005,89.0,17.19,"Rice, paddy",8.206275244815233,9.47262771040802
Algeria,2005,89.0,17.19,Sorghum,8.206275244815233,10.418912582797015
Algeria,2005,89.0,17.19,Wheat,8.206275244815233,9.619664690410067
Algeria,2006,89.0,18.13,Maize,8.321596711431328,11.092382251415659
Algeria,2006,89.0,18.13,Potatoes,8.321596711431328,12.304514280842206
Algeria,2006,89.0,18.13,"Rice, paddy",8.321596711431328,9.454853949026585
Algeria,2006,89.0,18.13,Sorghum,8.321596711431328,10.946040822807591
Algeria,2006,89.0,18.13,Wheat,8.321596711431328,9.620394932418154
Algeria,2007,89.0,17.42,Maize,8.592632705246167,11.357744254328447
Algeria,2007,89.0,17.42,Potatoes,8.592632705246167,12.154400331955504
